id,Category,Subcategary,level,cmd,act,prompt,enable,Explanation,rate,Examples,,,,,
1,English Learning,General tasks,(0-1),单词释义和例句(0-1),单词释义和例句,给出单词“[word]”的定义（先英文，后接中文翻译）和例句（先英文，后接中文翻译）。,,,,,,,,,
2,English Learning,General tasks,(0-2),单词搭配和例句(0-2),单词搭配和例句,给出单词“[word]”的常见搭配（先英文，后接中文翻译）和例句（先英文，后接中文翻译）。,,,,,,,,,
3,English Learning,General tasks,(0-3),英汉/汉英翻译(0-3),英汉/汉英翻译,把后面的文本翻译为[英语/汉语]: [text]。,,,,,,,,,
4,English Learning,General tasks,(0-4),用中英文回答问题(0-4),用中英文回答问题,[prompt]用英语和汉语回应。,,,,,,,,,
5,English Learning,General tasks,(0-5) ,长难句分析(0-5) ,长难句分析及难词释义,分析下面的句子的句子结构，用表格的形式展示，最后给出中文翻译和难词释义：[句子],,,,,,,,,
6,English Learning,General tasks,(0-6-1-a),扩展词汇量(题目)(0-6-1-a),列出与雅思作文题目相关的学术词汇,List [number] academic words or collocations which might be used in an IELTS essay for the following writing prompt: [prompt],,,,,,,,,
7,,,(0-6-1-c),扩展词汇量(题目)(0-6-1-c),用上面的学术词汇造句,"give one English example sentence for each of the above, followed by their Chinese translation.",,,,,,,,,
8,,,(0-6-1-d),扩展词汇量(题目)(0-6-1-d),使用上面的学术词汇写一篇雅思范文,"Write a model IELTS essay using the above words/collocations to the above prompt, labeling the above words/collocations with []",,,,,,,,,
9,English Learning,General tasks,(0-6-2-a) ,扩展词汇量(话题)(0-6-2-a) ,列出雅思写作常见话题及子话题,List common topics and subtopics of IELTS writing task two.,,,,,,,,,
10,English Learning,General tasks,(0-6-2-b),扩展词汇量(话题)(0-6-2-b),列出与雅思作文常见的子话题相关的学术词汇,"List [number] academic words or collocations related to the subtopic ""[subtopic ]"", followed with their Chinese translation.",,,,,,,,,
11,English Learning,General tasks,(0-6-2-c) ,扩展词汇量(话题)(0-6-2-c) ,用上面的学术词汇造句,"Give one English example sentence for each of the above , followed by their Chinese translation.",,,,,,,,,
12,,General tasks,(0-6-3-a),创建练习题(0-6-3-a),创建练习题(步骤1：列出话题相关学术类词汇),"List [number] academic words or collocations related to the subtopic ""[subtopic ]"", followed with their Chinese translation.",,,,,,,,,
13,,General tasks,(0-6-3-b),创建练习题(0-6-3-b),创建练习题(步骤2：创建练习题),Create a multiple choice quiz and fill-in-the-blank quiz for the above words/collocations.,,,,,,,,,
14,,,(0-7),学习计划(0-7),制定学习计划,Create a one-week study plan for IELTS writing，I have 30 minutes every day to study.,,,,,,,,,
15,English Learning,General tasks,(1-1) ,写雅思范文(1-1) ,给指定的雅思题目写范文,Write a model IELTS essay to the following prompt: [prompt],,,,,,,,,
16,,General tasks,(1-2) ,写雅思作文提纲(1-2) ,给指定的雅思题目写提纲,Write an outline to the following IELTS writing prompt: [prompt],,,,,,,,,
17,,General tasks,(1-3) ,写雅思范文(提纲)(1-3) ,给指定的雅思题目并按指定提纲写雅思范文,"Write a model IELTS essay to the following IELTS writing prompt and according to the following outline:
prompt: [prompt]
outline: [outline]",,,,,,,,,
18,,,(1-4),写雅思范文(给定立场)(1-4),以指定的立场写雅思范文,Write a model IELTS essay to the following prompt with the position that [position]:  [prompt],,,,,,,,,
19,English Learning,Exam writing,(1-5),学术风格(1-5),用更学术的风格改写,Rewrite it in a more academic style,,,,,,,,,
20,English Learning,Exam writing,(1-6),其他风格(1-6),用某作家/杂志/报纸的风格改写,Rewrite it in the style of [writer/magazine/newspaper],,,,,,,,,
21,English Learning,Exam writing,(1-7),词汇升级/降级(1-7),用更高级/简单的词汇改写,Rewrite it using more advanced/simplified language,,,,,,,,,
22,,,(2-1),产生idea:优劣(2-1),列出某现象/趋势的优点和缺点,List the benefits and drawbacks of [trend/phenomenon],,,,,,,,,
23,,,(2-2),产生idea:理由(2-2),列出支持和反对某观点的理由,List the arguments for and against the opinion that [opinion],,,,,,,,,
24,,,(2-3),产生idea:原因和解决方法(2-3),列出某问题/现象的原因和解决方法,List the causes of and solutions to the issue/phenomenon that [issue/phenomenon],,,,,,,,,
25,,,(2-4),论点的解释(2-4),论点的解释，扩展和支持,"Explain, extend and support the idea: [idea]",,,,,,,,,
26,,,(2-5),论点的举例论证(2-5),论点的举例论证,Use an example to support the idea: [idea],,,,,,,,,
