id,Category,Subcategary,level,cmd,act,prompt,enable,Explanation,rate,Examples
1,English Learning,General tasks,(0-1),word_definition(0-1),Show the meaning of a given word and some example sentences using the word. ,"Show the meaning of word ""[word]"" and some example sentences using the word.",,,,
2,English Learning,General tasks,(0-2),word_collocation(0-2),"Show the collocations of word ""[word]"" with example sentences using these collocations.","Show the collocations of word ""[word]"" with example sentences using these collocations.",,,,
3,English Learning,General tasks,(0-3),translate_text(0-3),Translate the following text into English/[your native language]: [text],Translate the following text into English/[your native language]: [text],,,,
4,English Learning,General tasks,(0-4),bilingual_answer(0-4),[Prompt] in both English and [your native language].,[Prompt] in both English and [your native language].,,,,
5,English Learning,General tasks,(0-5) ,sentence_structure_analysis(0-5) ,"Analyse the structure of the following sentence , show the output in the format of table, followed by its [learner's native language] translation and vocabulary notes for difficult words and phrases: [sentence]","Analyse the structure of the following sentence , show the output in the format of table, followed by its [learner's native language] translation and vocabulary notes for difficult words and phrases: [sentence]",,,,
6,English Learning,General tasks,(0-6-1-a),academic_vocabulary_prompt(0-6-1-a),List [number] academic words or collocations which might be used in an IELTS essay for the following writing prompt: [prompt],List [number] academic words or collocations which might be used in an IELTS essay for the following writing prompt: [prompt],,,,
,,,(0-6-1-c),academic_vocabulary_prompt(0-6-1-c),"give one English example sentence for each of the above, followed by their Chinese translation.","give one English example sentence for each of the above, followed by their Chinese translation.",,,,
7,English Learning,General tasks,(0-6-1-d),academic_vocabulary_prompt_d(0-6-1-d),"Write a model IELTS essay using the above words/collocations to the above prompt, labeling the above words/collocations with []","Write a model IELTS essay using the above words/collocations to the above prompt, labeling the above words/collocations with []",,,,
8,English Learning,General tasks,(0-6-2-a) ,academic_vocabulary_topic(0-6-2-a) ,List common topics and subtopics of IELTS writing task two.,List common topics and subtopics of IELTS writing task two.,,,,
9,English Learning,General tasks,(0-6-2-b),academic_vocabulary_topic(0-6-2-b),"List [number] academic words or collocations related to the subtopic ""[subtopic ]"", followed with their [your native language] translation.","List [number] academic words or collocations related to the subtopic ""[subtopic ]"", followed with their [your native language] translation.",,,,
10,English Learning,General tasks,(0-6-2-c) ,academic_vocabulary_topic(0-6-2-c),"Give one English example sentence for each of the above, followed by their [your native language] translation.","Give one English example sentence for each of the above , followed by their [your native language] translation.",,,,
,,General tasks,(0-6-3-a),academic_vocabulary_quiz(0-6-3-a),"List [number] academic words or collocations related to the subtopic ""[subtopic ]"", followed with their Chinese translation.","List [number] academic words or collocations related to the subtopic ""[subtopic ]"", followed with their Chinese translation.",,,,
,,General tasks,(0-6-3-b),academic_vocabulary_quiz(0-6-3-b),Create a multiple choice quiz and fill-in-the-blank quiz for the above words/collocations.,Create a multiple choice quiz and fill-in-the-blank quiz for the above words/collocations.,,,,
